"","Plot","Herbivory","Coral_Id","Coral","percent_bleached","percent_dead","Date","Nutrients","catcat"
"143","A2","1x1","P17","Pver",0,0,"Nov18","Nutrient","Nov18_P17"
"144","A2","2x2","P24","Pver",0,0,"Nov18","Nutrient","Nov18_P24"
"145","A2","2x2","P9","Pver",0,0,"Nov18","Nutrient","Nov18_P9"
"146","A2","3x3","A2","Acr",0,0,"Nov18","Nutrient","Nov18_A2"
"147","A2","3x3","P20","Pver",0,0,"Nov18","Nutrient","Nov18_P20"
"148","A2","3x3","P25","Pver",0,5,"Nov18","Nutrient","Nov18_P25"
"149","A2","3x3","P6","Pver",0,0,"Nov18","Nutrient","Nov18_P6"
"150","A2","open","A1","Acr",0,0,"Nov18","Nutrient","Nov18_A1"
"151","A2","open","A2","Acr",0,0,"Nov18","Nutrient","Nov18_A2"
"152","A2","open","P1","Pver",0,0,"Nov18","Nutrient","Nov18_P1"
"153","A2","open","P19","Pver",0,0,"Nov18","Nutrient","Nov18_P19"
"154","A2","open","P5","Pver",0,0,"Nov18","Nutrient","Nov18_P5"
"155","B3","1x1","A3","Acr",0,0,"Nov18","Nutrient","Nov18_A3"
"156","B3","1x1","P11","Pver",0,0,"Nov18","Nutrient","Nov18_P11"
"157","B3","1x1","P13","Pver",0,20,"Nov18","Nutrient","Nov18_P13"
"158","B3","1x1","P20","Pver",0,0,"Nov18","Nutrient","Nov18_P20"
"159","B3","1x1","P21","Pver",0,0,"Nov18","Nutrient","Nov18_P21"
"160","B3","1x1","P23","Pver",0,0,"Nov18","Nutrient","Nov18_P23"
"161","B3","2x2","A1","Acr",0,0,"Nov18","Nutrient","Nov18_A1"
"162","B3","2x2","P1","Pver",0,0,"Nov18","Nutrient","Nov18_P1"
"163","B3","3x3","A2","Acr",0,0,"Nov18","Nutrient","Nov18_A2"
"164","B3","3x3","A3","Acr",0,0,"Nov18","Nutrient","Nov18_A3"
"165","B3","3x3","P2","Pver",0,0,"Nov18","Nutrient","Nov18_P2"
"166","B3","3x3","P9","Pver",0,0,"Nov18","Nutrient","Nov18_P9"
