Plot,Herbivory,Coral_Id,Coral,percent_bleached,percent_dead,Date,Nutrients,catcat
B4,1x1,P25,Pver,0,0, Mar19,Ambient,Mar19_P25
B4,2x2,A2,Acr,80,0, Mar19,Ambient,Mar19_A2
B4,2x2,A4,Acr,0,0, Mar19,Ambient,Mar19_A4
B4,2x2,A8,Acr,0,0, Mar19,Ambient,Mar19_A8
B4,2x2,P7,Pver,0,0, Mar19,Ambient,Mar19_P7
B4,3x3,A3,Acr,10,0, Mar19,Ambient,Mar19_A3
B4,3x3,A7,Acr,10,0, Mar19,Ambient,Mar19_A7
B4,3x3,P14,Pver,0,0, Mar19,Ambient,Mar19_P14
B4,3x3,P2,Pver,0,0, Mar19,Ambient,Mar19_P2
B4,3x3,P6,Pver,0,0, Mar19,Ambient,Mar19_P6
B4,open,P13,Pver,0,0, Mar19,Ambient,Mar19_P13
B4,open,P5,Pver,0,0, Mar19,Ambient,Mar19_P5
C1,1x1,P20,Pver,0,0, Mar19,Ambient,Mar19_P20
C1,1x1,P4,Pver,0,0, Mar19,Ambient,Mar19_P4
C1,1x1,P5,Pver,0,5, Mar19,Ambient,Mar19_P5
C1,2x2,A1,Acr,20,0, Mar19,Ambient,Mar19_A1
C1,2x2,A4,Acr,10,0, Mar19,Ambient,Mar19_A4
C1,2x2,P15,Pver,0,0, Mar19,Ambient,Mar19_P15
C1,2x2,P16,Pver,10,0, Mar19,Ambient,Mar19_P16
C1,2x2,P18,Pver,0,0, Mar19,Ambient,Mar19_P18
C1,2x2,P3,Pver,0,0, Mar19,Ambient,Mar19_P3
C1,3x3,A1,Acr,20,0, Mar19,Ambient,Mar19_A1
C1,3x3,A5,Acr,0,0, Mar19,Ambient,Mar19_A5
C1,3x3,P13,Pver,0,0, Mar19,Ambient,Mar19_P13
C1,open,P12,Pver,0,0, Mar19,Ambient,Mar19_P12
C1,open,P18,Pver,0,0, Mar19,Ambient,Mar19_P18
C1,open,P3,Pver,0,0, Mar19,Ambient,Mar19_P3
C3,1x1,A2,Acr,0,0, Mar19,Nutrient,Mar19_A2
C3,1x1,P20,Pver,2,0, Mar19,Nutrient,Mar19_P20
C3,1x1,P7,Pver,2,0, Mar19,Nutrient,Mar19_P7
